,FAA,EAA (Golden Defensive),FAA + MA Filter,EAA + MA Filter,Equal Weight,SPY Buy&Hold
2005-07-31,1.0257146763732432,1.021285769528052,0.9661925554718618,0.9774617036479079,1.0411642256484377,1.0382610119328972
2005-08-31,1.0272741227082196,1.027059665764386,0.9997819659084528,0.9963401365256901,1.0325057793497248,1.0285276708014504
2005-09-30,1.042786063458271,1.0543503288708564,0.9636601843801617,0.9643424214978968,1.0463575998432801,1.03678224929073
2005-10-31,0.9997302358365033,0.98502034858102,0.9420654373364986,0.945133501181364,1.0214111944903947,1.0122613756153804
2005-11-30,1.0200676464251548,0.9938831293065304,0.9612297787895294,0.9536373975621557,1.057738198080346,1.0567527735483235
2005-12-31,1.0266534032711274,1.0030585732367423,0.9674356668190156,0.9624412963436854,1.0643935164691722,1.0547304586145012
2006-01-31,1.0802628442619475,1.0466940729464123,1.017952896029478,1.0043098452277865,1.0994155122594358,1.0800590566279162
2006-02-28,1.0832991031475765,1.0518432107127487,1.0208140224138005,1.00925047677126,1.0971415627406154,1.086242973131525
2006-03-31,1.1156407858159516,1.0723570529879356,1.0512902252283403,1.0289336433171692,1.1110234450629646,1.1041703415902275
2006-04-30,1.1282691016672663,1.0717695357679788,1.0631901352929167,1.0283699166815703,1.1289467992634088,1.118117949720756
2006-05-31,1.0997795759391624,1.0491989313201306,1.036343895624974,1.0067132733073447,1.1029554493169,1.084439111769841
2006-06-30,1.1043600791044792,1.0513646474758929,1.0406601937251758,1.008791292198842,1.1102701103494785,1.0872674612418585
2006-07-31,1.0976612500974279,1.0406019258238561,1.034347755577409,0.9984643900065333,1.1128795614844271,1.0921364318129612
2006-08-31,1.125994175865322,1.0623668460455655,1.0610464280270024,1.0193479740682339,1.1360123030382137,1.1159703079632104
2006-09-30,1.1066127291806587,1.0578765822551526,1.042782910137175,1.015039536436895,1.1544466088638787,1.1461026314971752
2006-10-31,1.1339097161072778,1.0694283952653398,1.0685053970693394,1.0261235769757922,1.1970981050183407,1.182223981283026
2006-11-30,1.140269385074236,1.0775355885557005,1.0744982380497463,1.0339024822444098,1.2261930376944958,1.2057330403470703
2006-12-31,1.1564987830765647,1.095034510248167,1.089791518555541,1.050692812667456,1.2372399073056493,1.221855608666383
2007-01-31,1.1833810671211167,1.12015744366281,1.1151232228165857,1.0747984324674258,1.258885378054304,1.2402322761350788
2007-02-28,1.1551493890776598,1.0914103518758862,1.0885199580863771,1.0472154088796422,1.248001196072428,1.2159022559673174
2007-03-31,1.1606002161182978,1.097297440833476,1.0936563794686789,1.052864109443309,1.26930843083651,1.2299927460646678
2007-04-30,1.2033534986396819,1.1350840724950355,1.1339436373231722,1.0891206309776993,1.321855968078477,1.2844764938980864
2007-05-31,1.2342809000480695,1.1622421311945177,1.1630871351279528,1.115178966869853,1.3700922777634141,1.3280463876350215
2007-06-30,1.217924403079516,1.1396427583568873,1.1476740867698823,1.0934947200364733,1.3469878286211718,1.3086295544683055
2007-07-31,1.1909508867356564,1.1071594002123726,1.1222564125212693,1.0623267243118366,1.3043537764207844,1.2676558504767448
2007-08-31,1.1931080865825212,1.1098762013605268,1.1242891843074085,1.0649335128770347,1.3215920537082815,1.2839226150516676
2007-09-30,1.2734069830305081,1.1517906675423444,1.199956411613598,1.1051507187750007,1.3760431392385717,1.3336292986513807
2007-10-31,1.3012187761110876,1.1585890985914298,1.226164010496156,1.1116738580677252,1.40442365791495,1.351721891986303
2007-11-30,1.2379690592188717,1.133935628759072,1.1665625599552325,1.088018691661781,1.3599668499575073,1.2993660715786088
2007-12-31,1.2798087449378428,1.161214153109747,1.205988917598486,1.1141926151383414,1.3548175347050606,1.2847345638894092
2008-01-31,1.205314593714541,1.1064654545203498,1.231265239817135,1.1323555645099108,1.2766990706054364,1.2070582189565697
2008-02-29,1.225020656210165,1.122429966670184,1.2256604740145336,1.128346489330459,1.251948980903138,1.1758647949817453
2008-03-31,1.225020656210165,1.122429966670184,1.2256604740145336,1.128346489330459,1.2472457487792454,1.165349639776913
2008-04-30,1.225020656210165,1.13537968114513,1.2256604740145336,1.125229384482757,1.3021645670118025,1.2208929860068616
