,FAA,EAA (Golden Defensive),FAA + MA Filter,EAA + MA Filter,Equal Weight,SPY Buy&Hold
2005-07-31,0.02571467637324328,0.02128576952805198,-0.03380744452813822,-0.02253829635209215,0.04116422564843774,0.038261011932897215
2005-08-31,0.001520351001011555,0.005653555947423431,0.034764716666841666,0.0193137314815787,-0.008316119672014781,-0.009374657258223063
2005-09-30,0.01510009880240848,0.026571643319436004,-0.036129659025674776,-0.032115252467266465,0.01341573167975797,0.008025626070757408
2005-10-31,-0.04128922425274695,-0.0657561138754369,-0.02240908921390483,-0.019919190412359847,-0.023841185228283157,-0.023650938943181488
2005-11-30,0.02034289837361421,0.008997561053716095,0.02034289837361421,0.008997561053716095,0.035565503673645985,0.043952480065630795
2005-12-31,0.006456196183706556,0.009231914356584195,0.006456196183706556,0.009231914356584195,0.006292028028206708,-0.0019137067670348396
2006-01-31,0.05221766257240223,0.043502444297807794,0.05221766257240223,0.043502444297807794,0.032903240435397815,0.024014285172618166
2006-02-28,0.002810666775920864,0.004919429563445975,0.002810666775920864,0.004919429563445975,-0.002068325845382425,0.005725535530358705
2006-03-31,0.029854804249726342,0.019502756747639564,0.029854804249726342,0.019502756747639564,0.01265277225271904,0.016504013284449393
2006-04-30,0.011319338636475792,-0.0005478746265711312,0.011319338636475792,-0.0005478746265711312,0.016132291609227453,0.012631754001326545
2006-05-31,-0.025250647816202967,-0.02105919574554363,-0.025250647816202967,-0.02105919574554363,-0.023022652585105816,-0.030121006428101782
2006-06-30,0.004164928377948129,0.0020641616104558535,0.004164928377948129,0.0020641616104558535,0.006631873515026032,0.0026081219695233138
2006-07-31,-0.0060658014843161245,-0.010236906555566453,-0.0060658014843161245,-0.010236906555566453,0.00235028495374634,0.004478171880119897
2006-08-31,0.0258120852543345,0.02091570242336207,0.0258120852543345,0.02091570242336207,0.020786383679228124,0.021823167377252206
2006-09-30,-0.017212741504429897,-0.004226660317127816,-0.017212741504429897,-0.004226660317127816,0.01622720614588692,0.027001008287541373
2006-10-31,0.024667154286965417,0.010919811633944336,0.024667154286965417,0.010919811633944336,0.03694540382117487,0.03151667991431517
2006-11-30,0.005608620224889799,0.007580865933851733,0.005608620224889799,0.007580865933851733,0.0243045516104208,0.019885452702905537
2006-12-31,0.014232950752485688,0.016239762174279124,0.014232950752485688,0.016239762174279124,0.009009078727052429,0.013371590376815012
2007-01-31,0.023244541574906442,0.02294259512328008,0.023244541574906442,0.02294259512328008,0.01749496651445083,0.01503996653807027
2007-02-28,-0.023856793747881855,-0.025663438608168623,-0.023856793747881855,-0.025663438608168623,-0.008645887998713749,-0.01961730930240002
2007-03-31,0.004718720446184376,0.005394019717213722,0.004718720446184376,0.005394019717213722,0.017073088416211173,0.01158850559590463
2007-04-30,0.03683721743941685,0.034436088388994895,0.03683721743941685,0.034436088388994895,0.04139855685614302,0.04429599118184879
2007-05-31,0.025701010919359165,0.02392603275613399,0.025701010919359165,0.02392603275613399,0.03649135068403559,0.03392035116556369
2007-06-30,-0.01325184321325586,-0.019444633980359515,-0.01325184321325586,-0.019444633980359515,-0.01686342556426834,-0.014620598608225843
2007-07-31,-0.02214711871743206,-0.028503105825327706,-0.02214711871743206,-0.028503105825327706,-0.03165140121869492,-0.03131039173894279
2007-08-31,0.0018113256145915937,0.002453848242297389,0.0018113256145915937,0.002453848242297389,0.013215952296929512,0.012832161480424764
2007-09-30,0.06730228162143384,0.03776499228511903,0.06730228162143384,0.03776499228511903,0.041201129635657835,0.03871470368773955
2007-10-31,0.0218404590607724,0.005902488395388391,0.0218404590607724,0.005902488395388391,0.020624730335186144,0.01356643360581411
2007-11-30,-0.048608057348548596,-0.021278872606630327,-0.048608057348548596,-0.021278872606630327,-0.03165484126310198,-0.03873268659632301
2007-12-31,0.033797036692799876,0.024056501673315876,0.033797036692799876,0.024056501673315876,-0.0037863535075194476,-0.011260496952505195
2008-01-31,-0.05820725285551919,-0.04714780511654937,0.02095900041020493,0.016301444763492726,-0.05765976753218686,-0.06046100658931586
2008-02-29,0.016349310460843203,0.014428387334293077,-0.0045520377099526055,-0.0035404737744075825,-0.019386001190210906,-0.02584251818589922
2008-03-31,0.0,0.0,0.0,0.0,-0.003756728265795564,-0.008942486627466106
2008-04-30,0.0,0.011537213776787026,0.0,-0.002762542248482209,0.04403207490288858,0.04766238760804997
2008-05-31,0.051987937541390083,0.005776437504598901,-0.0268819850478883,-0.002986887227543146,0.02456227444682937,0.015117029936023707
